"Genera","Step_I","Step_II","Step_III_m","Step_III_f","Step_IV"
"bellilinea","15339","17457","15220","14402","15530"
"methanosaeta","4777","6172","29243","12282","5033"
"anaerophaga","485","628","183","3552","16671"
"sulfurovum","5","5","353","4543","5392"
"methanolinea","700","498","692","2905","3387"
"cytophaga","6009","9218","5073","4788","2916"
"nitrosovibrio","18","116","119","3365","6438"
"desulfovibrio","11","26","250","2090","5159"
"synergistes","4536","2216","8696","2953","1064"
"methanobacterium","22","40","282","1874","1052"
"leptospira","832","690","31","4405","1917"
"desulfomicrobium","291","68","54","1850","798"
"sulfuricurvum","133","4","25","1194","1686"
"cetobacterium","4","0","1917","1022","1226"
"aminivibrio","2515","1854","3511","1113","766"
"geobacter","619","684","452","2359","756"
"bacteroides","5387","7235","1029","2363","1554"
"desulfovirga","0","0","9","1305","278"
"comamonas","1310","2484","89","816","1220"
"smithella","598","416","944","946","540"
"solobacterium","843","992","125","851","431"
"solirubrobacter","315","680","783","1921","1414"
"clostridium","932","964","2313","3272","1807"
"pedosphaera","38","302","15","803","1603"
"desulfofaba","1117","3965","208","787","529"
"azovibrio","8","35","16","111","1167"
"parachlamydia","236","212","525","682","357"
"syntrophus","9850","8685","4507","1826","1747"
"ruminococcus","627","597","205","621","560"
"flavobacterium","64","74","0","183","768"
"syntrophorhabdus","4148","2628","506","1885","869"
"treponema","1622","1073","74","780","786"
"holophaga","4","15","3","393","632"
"aminobacterium","226","115","363","608","362"
"desulfomonile","27","33","433","945","760"
"insolitispirillum","0","0","0","15","536"
"cloacibacillus","22","10","37","388","357"
"exilispira","42","106","79","151","322"
"pelotomaculum","17","36","14","281","119"
"hydrogenophaga","14","0","15","317","142"
"methanoregula","445","135","20","283","194"
"aeromonas","21","18","47","357","492"
"desulfosarcina","14","3","36","492","148"
"aminiphilus","2","3","20","215","163"
"acidobacterium","45","118","3","406","389"
"inquilinus","0","0","0","44","321"
"arcobacter","126","10","4","124","211"
"methanospirillum","11","2","0","224","193"
"dehalogenimonas","415","201","30","520","129"
"parabacteroides","9","18","6","236","160"
"meniscus","0","0","0","263","410"
"geobacillus","1673","1309","9","163","104"
"solitalea","5230","1770","84","146","101"
"propionispora","0","0","5","320","245"
"caldisericum","933","1247","301","187","58"
"dehalococcoides","2093","1541","226","284","303"
"anoxybacillus","2","40","19","185","248"
"levilinea","103","175","345","150","212"
"syntrophobacter","6931","6654","15717","253","126"
"cloacibacterium","40","12","0","105","81"
"geothrix","0","10","7","215","141"
"aminomonas","31","35","92","189","128"
"pseudomonas","4","4","12","80","333"
"prolixibacter","45","149","26","163","15"
"planctomyces","114","40","0","125","28"
"defluviicoccus","4","0","0","51","112"
"desulfobacterium","0","0","8","61","119"
"bacillus","153","91","12","74","71"
"gelria","635","847","163","86","45"
"syntrophomonas","655","582","98","81","100"
"thiovirga","12","0","0","35","102"
"nitrosospira","0","0","50","68","69"
"chlorobium","12","7","6","186","54"
"acidovorax","19","10","2","142","34"
"desulfotomaculum","0","3","0","115","9"
"oxalobacter","0","0","0","22","100"
"leptolinea","106","220","340","94","71"
"escherichia","0","0","0","54","60"
"anaeroarcus","0","0","0","73","58"
"burkholderia","4","2","0","26","141"
"sporomusa","24","24","0","228","143"
"desulforegula","9","22","7","64","117"
"dethiobacter","125","127","494","84","22"
"symbiobacterium","262","95","12","66","55"
"nitrospina","1667","955","14","52","44"
"desulfitobacterium","0","0","0","81","19"
"thiobacillus","6","10","80","68","33"
"tolumonas","40","28","0","109","37"
"dialister","0","0","0","64","116"
"spirochaeta","387","202","4","130","120"
"desulfatibacillum","57","28","106","70","21"
"pelobacter","2","2","8","43","52"
"desulforhabdus","0","0","140","82","9"
"pleomorphomonas","0","0","7","63","46"
"longilinea","442","404","138","230","267"
"ornatilinea","242","132","72","81","107"
"streptococcus","0","3","0","48","60"
"thermanaerovibrio","79","55","7","56","30"
"phascolarctobacterium","0","0","0","37","97"
"azospira","0","0","0","21","58"
"alkaliflexus","8","17","4","53","123"
"rhodocyclus","6","15","4","188","49"
"pelosinus","0","3","11","76","73"
"enterobacter","12","5","0","65","66"
"sulfurospirillum","93","18","22","50","56"
"cyanothece","0","0","171","51","12"
"christensenella","9","7","32","68","33"
"methanobrevibacter","77","54","2","40","17"
"acinetobacter","45","14","0","62","41"
"victivallis","0","0","0","48","60"
"barnesiella","0","0","0","43","13"
"paludibacter","345","97","0","54","35"
"paracoccus","0","0","6","26","32"
"paenibacillus","158","138","27","32","16"
"candidatusrhabdochlamydia","19","12","39","68","33"
"oscillospira","0","0","0","23","34"
"deferribacter","56","33","10","39","30"
"parapedobacter","0","0","15","21","35"
"desulfobulbus","94","22","5","156","121"
"methanoculleus","3","6","28","39","9"
"sebaldella","0","0","13","42","3"
"rubrobacter","76","94","152","69","42"
"desulfobacter","0","0","0","27","18"
"streptomyces","43","83","161","26","43"
"moorella","514","2131","0","36","33"
"desulfofustis","0","0","0","17","26"
"candidatusbabela","6","13","12","38","9"
"acetivibrio","249","188","16","50","44"
"novosphingobium","0","0","2","13","25"
"desulfatiferula","0","0","0","44","0"
"anaerosinus","0","0","0","29","4"
"anaeromyxobacter","0","0","0","48","36"
"zoogloea","26","12","0","26","27"
"verrucomicrobium","3","25","16","39","71"
"aquaspirillum","97","16","0","26","15"
"pirellula","2","9","39","17","11"
"proteocatella","0","0","0","31","2"
"succinivibrio","0","0","0","16","16"
"petrimonas","67","59","19","23","20"
"catabacter","8","6","6","13","15"
"gallicola","192","117","15","18","10"
"candidatussolibacter","0","0","0","23","0"
"nitriliruptor","5","0","0","8","17"
"candidatuscloacimonas","978","862","6","7","35"
"peptoclostridium","14","3","54","23","0"
"cellulosilyticum","9","9","4","15","8"
"sphingobacterium","27","20","0","11","9"
"blastopirellula","27","6","18","20","44"
"ensifer","0","0","0","17","8"
"chondromyces","15","12","0","9","14"
"methanosphaerula","0","0","2","12","13"
"thiophaeococcus","0","0","0","6","18"
"alkalibacter","0","0","0","10","15"
"sporichthya","2","9","21","12","15"
"ignavibacterium","1590","2773","0","14","8"
"elusimicrobium","0","0","0","17","3"
"mycobacterium","0","0","0","12","16"
"faecalibacterium","0","0","0","6","14"
"flavonifractor","0","5","3","10","9"
"acetobacterium","3","34","11","12","8"
"dehalobacterium","35","41","17","35","3"
"alkaliphilus","51","11","0","7","12"
"methylosinus","0","0","0","14","5"
"kosmotoga","3570","1949","3","8","9"
"mogibacterium","0","0","0","11","4"
"parvimonas","3","3","0","13","6"
"thermoflavimicrobium","32","70","0","11","4"
"coxiella","9","15","32","19","5"
"eubacterium","25","14","3","22","12"
"aquimonas","0","0","0","6","9"
"thermoanaerobaculum","0","0","0","12","8"
"bifidobacterium","0","0","0","4","11"
"fusobacterium","44","188","11","51","29"
"nitrospira","10","2","0","14","5"
"alistipes","0","0","0","0","14"
"desulfobacca","11","6","4","7","10"
"acidaminococcus","7","4","10","5","15"
"akkermansia","0","0","0","4","10"
"carboxydothermus","11","5","0","9","6"
"veillonella","0","0","0","5","8"
"candidatusmagnetananas","0","0","0","8","6"
"oxalophagus","0","0","0","11","21"
"fusibacter","48","15","3","8","4"
"opitutus","0","11","0","23","14"
"neochlamydia","0","0","8","11","2"
"imtechium","0","0","0","7","11"
"dechloromonas","11","8","0","10","28"
"guggenheimella","8","9","8","6","7"
"collinsella","0","0","0","6","10"
"fretibacterium","0","0","0","11","0"
"sulfurimonas","20","0","0","10","6"
"laribacter","3","0","0","11","0"
"methanomethylovorans","0","0","0","10","0"
"finegoldia","330","416","7","10","8"
"gordonia","0","0","0","0","9"
"rhodobacter","0","0","0","12","18"
"enhydrobacter","17","0","0","17","0"
"stella","0","0","0","8","0"
"anaerofilum","0","0","0","9","0"
"tetrasphaera","0","0","0","3","6"
"prosthecobacter","0","7","0","9","0"
"olsenella","0","2","0","3","8"
"geovibrio","0","0","0","8","0"
"desulfuromonas","14","27","6","20","9"
"dysgonomonas","0","0","0","10","13"
"owenweeksia","30","12","3","5","3"
"methylomonas","134","15","0","3","6"
"gemmobacter","0","0","0","7","5"
"methanomassiliicoccus","7","9","7","7","2"
"desulfoglaeba","2","0","18","4","3"
"stenotrophomonas","0","0","0","6","7"
"perlucidibaca","0","0","0","0","8"
"leptonema","4","0","0","0","6"
"parasutterella","0","0","0","6","2"
"zymophilus","0","0","0","4","0"
"actinomyces","5","4","4","9","10"
"saccharofermentans","29","54","4","5","3"
"subdoligranulum","0","0","0","10","6"
"rickettsiella","0","0","0","5","4"
"turicibacter","0","0","7","3","4"
"rhizobium","0","0","0","6","8"
"desulfocaldus","0","10","9","8","7"
"alkalibacterium","7","16","29","4","3"
"anaerolinea","4","3","2","8","8"
"phenylobacterium","0","0","0","7","0"
"anaerotruncus","2","2","0","7","6"
"selenomonas","2","3","0","8","9"
"actinobaculum","0","0","0","5","0"
"roseburia","0","0","0","6","2"
"succinispira","0","0","0","8","3"
"magnetospirillum","0","0","0","0","10"
"lachnoclostridium","0","0","0","4","3"
"corynebacterium","8","2","4","5","5"
"prevotella","0","3","0","2","4"
"vibrio","0","0","0","2","4"
"chloroflexus","0","2","0","0","4"
"brooklawnia","0","0","0","0","6"
"parvibaculum","0","0","0","0","8"
"delftia","0","0","0","0","5"
"candidatusbrocadia","6","12","0","2","4"
"azospirillum","0","0","0","0","5"
"novispirillum","0","0","2","0","10"
"pannonibacter","0","0","0","3","2"
"methylocystis","0","0","0","2","3"
"alicyclobacillus","0","0","0","3","2"
"candidatusmetachlamydia","0","0","2","7","0"
"lactivibrio","58","42","234","115","86"
"ethanoligenens","33","69","0","3","2"
"ralstonia","0","0","0","2","3"
"roseomonas","0","0","0","0","9"
"methylobacterium","0","0","0","0","5"
"shewanella","0","0","0","0","5"
"thermogymnomonas","43","9","0","3","2"
"acetanaerobacterium","0","0","0","6","3"
"thermofilum","0","0","0","5","2"
"butyrivibrio","0","0","0","4","0"
"catenibacterium","0","0","0","4","0"
"tannerella","0","0","0","4","0"
"brachymonas","2","2","0","2","6"
"thermanaerothrix","0","2","4","0","3"
"chlamydia","0","0","0","0","5"
"rhodoplanes","0","0","0","2","3"
"thermincola","0","0","0","2","2"
"oligosphaera","0","0","0","0","4"
"chitinophaga","0","4","0","2","0"
"enterococcus","0","0","0","2","5"
"uruburuella","0","0","0","0","5"
"sporobacter","0","0","0","4","0"
"thiofractor","5","0","0","0","3"
"sphingopyxis","0","0","0","3","2"
"azonexus","0","0","0","5","14"
"rhodoblastus","0","0","0","0","2"
"chelatococcus","0","0","0","0","2"
"ruminiclostridium","0","0","0","3","0"
"thermomonas","8","0","0","5","2"
"bacteriovorax","2","0","0","4","0"
"methylonatrum","0","3","0","0","4"
"holdemanella","0","0","0","3","0"
"enterorhabdus","0","0","0","2","0"
"candidatusodyssella","0","0","0","2","0"
"megasphaera","0","0","0","0","3"
"oribacterium","0","0","0","3","0"
"propionivibrio","0","0","0","2","2"
"diaphorobacter","7","3","0","6","5"
"erysipelothrix","2","7","4","2","0"
"klebsiella","0","0","0","2","0"
"lactobacillus","0","0","0","2","0"
"denitrovibrio","0","0","0","0","2"
"leucobacter","0","0","0","4","0"
"marinifilum","2","6","0","2","0"
"saccharibacter","0","4","0","5","0"
"kineococcus","0","0","0","2","0"
"proteiniphilum","0","0","0","4","2"
"pseudoxanthomonas","5","2","0","0","3"
"bosea","0","0","0","0","2"
"candidatusprotochlamydia","0","0","5","3","0"
"cupriavidus","0","0","0","0","2"
"rhodopseudomonas","0","0","0","2","0"
"gaiella","0","0","0","0","4"
"alishewanella","0","0","0","0","2"
"propionigenium","3","9","0","3","0"
"xanthomonas","0","0","0","0","2"
"streptobacillus","0","0","0","84","34"
"vulcanibacillus","0","0","0","0","3"
"porphyromonas","0","0","0","3","0"
"leptothrix","0","0","0","0","2"
"candidatussaccharimonas","0","0","0","2","0"
"caldithrix","542","247","4","0","0"
"phycisphaera","205","208","0","0","0"
"microbulbifer","281","3","0","0","0"
"gottschalkia","224","107","6","0","0"
"methylobacillus","310","39","0","0","0"
"pedomicrobium","124","123","0","0","0"
"methylobacter","106","3","0","0","0"
"sporanaerobacter","63","27","0","0","0"
"thiohalomonas","41","0","11","0","0"
"desulfococcus","15","15","0","0","0"
"fluviicola","16","0","0","0","0"
"ruminobacillus","8","6","0","0","0"
"byssovorax","14","6","0","0","0"
"nitrosococcus","23","7","2","0","0"
"thermoactinomyces","2","9","0","0","0"
"arthrobacter","5","5","0","0","0"
"azoarcus","9","0","0","0","0"
"flexistipes","5","4","0","0","0"
"candidatusnitrosocaldus","7","3","0","0","0"
"desulfopila","0","8","0","0","0"
"phacus","0","6","0","0","0"
"pseudoalteromonas","6","7","0","0","0"
"desulfosporosinus","0","7","0","0","0"
"saccharicrinis","2","5","0","0","0"
"neisseria","8","0","0","0","0"
"desulfarculus","6","4","0","0","0"
"thioalkalimicrobium","5","0","0","0","0"
"natranaerobius","2","6","0","0","0"
"pedobacter","5","10","0","0","0"
"bdellovibrio","6","0","0","0","0"
"soehngenia","0","5","0","0","0"
"desulfatiglans","2","4","4","0","0"
"marininema","0","3","0","0","0"
"denitrobacter","3","0","0","0","0"
"hydrogenimonas","5","0","0","0","0"
"natronoanaerobium","4","0","0","0","0"
"desulfonatronum","3","0","0","0","0"
"thermovenabulum","2","0","0","0","0"
"acidaminobacter","2","2","0","0","0"
"methanolobus","4","0","0","0","0"
"proteiniclasticum","2","0","0","0","0"
"pelospora","2","0","0","0","0"
"flexibacter","3","0","0","0","0"
"janibacter","2","2","6","0","0"
"geotoga","2","0","0","0","0"
"candidatuscompetibacter","0","2","0","0","0"
"haliangium","3","0","0","0","0"
"thiothrix","2","0","0","0","0"
"peptostreptococcus","2","0","0","0","0"
"leptotrichia","0","0","0","0","0"
"shigella","2","0","5","0","0"
"hippea","2","0","0","0","0"
"gluconobacter","2","0","0","0","0"
"candidatusnardonella","0","0","6","0","0"
"intestinibacter","0","0","6","0","0"
